,city,location,restaurant_name,res_speed,res_service,res_flavour
339,ankara,maltepe,komagene etsiz çiğ köfte,9.4,9.3,9.2
340,ankara,etimesgut,capello pizza,9.4,9.3,9.4
341,ankara,ümitköy,berilya pide & kebap,9.5,9.4,9.1
342,ankara,keçiören,dolunay simit & pasta & cafe,9.6,9.4,9.4
343,ankara,keçiören,merdane gözleme & mantı,9.2,9.3,9.2
344,ankara,keçiören,hayat su,9.2,9.6,9.6
345,ankara,çankaya,meşhur yılmaz burmalı kadayıf & künefe,9.2,9.1,9.1
346,ankara,çankaya,somunarası,9.3,9.7,9.5
347,ankara,çankaya,maşa döner & pide & kebap,9.5,9.5,9.1
348,ankara,öveçler,komagene etsiz çiğ köfte,9.1,9.3,9.1
349,ankara,yenimahalle,asilzade pide & pizza,9.1,9.2,9.2
350,ankara,altındağ,arzu pide & kebap & çorba,9.5,9.3,9.2
351,ankara,mustafa kemal mah.,egem sandwich,9.2,9.2,9.1
352,ankara,keçiören,çiçek pide & kebap,9.4,9.3,9.2
353,ankara,elvankent,komagene etsiz çiğ köfte,9.6,9.7,9.8
354,ankara,yıldız,boston express,9.6,9.5,9.3
355,ankara,aşağı ayrancı,kuzgun ev yemekleri,9.6,9.4,9.3
356,ankara,etimesgut,saka su,9.1,9.5,9.6
357,ankara,batıkent,meşhur adıyaman çiğ köftecisi ömer aybak,9.5,9.4,9.2
358,ankara,yenimahalle,komagene etsiz çiğ köfte,9.1,9.4,9.3
359,ankara,etimesgut,abart tavuk,10.0,10.0,10.0
360,ankara,balgat,cevizli cafe,9.3,9.3,9.2
361,ankara,konutkent 2,cuisine sandviç & burger & tatlı,9.4,9.6,9.6
362,ankara,çankaya,meşhur adıyaman çiğ köftecisi ömer aybak,9.2,9.3,9.2
363,ankara,çankaya,franco burger,9.4,9.3,9.1
364,ankara,altındağ,yiğit su,9.6,10.0,10.0
365,ankara,dikmen,komagene etsiz çiğ köfte,9.1,9.1,9.1
366,ankara,hoşdere caddesi,ratu burger house,9.3,9.5,9.3
367,ankara,emek,oburiks home made burger,9.4,9.3,9.1
368,ankara,çankaya,çatı açık büfe,10.0,10.0,10.0
369,ankara,çankaya,patlican pide & pizza,9.5,9.4,9.4
370,ankara,keçiören,pilavcı kemo,9.5,9.4,9.1
371,ankara,keçiören,komagene etsiz çiğ köfte,9.1,9.1,9.1
372,ankara,kahramankazan,komagene etsiz çiğ köfte,9.6,9.6,9.5
373,ankara,aşağı ayrancı,just cafe,9.6,9.4,9.3
374,ankara,mamak,meşhur adıyaman çiğ köftecisi ahmet aybak,9.3,9.3,9.2
375,ankara,çankaya,770 burger,9.5,9.4,9.2
376,ankara,cebeci,harrbi,9.3,9.3,9.1
