,city,location,restaurant_name,menu,price
27224,ankara,çayyolu,pizza today,Acımtrak Pizza (Küçük),"21,90 TL"
27225,ankara,çayyolu,pizza today,BBQ Chicken Pizza (Küçük),"22,90 TL"
27226,ankara,çayyolu,pizza today,Buffalo Chicken Pizza (Küçük),"23,90 TL"
27227,ankara,çayyolu,pizza today,Çıtır Tavuklu Pizza (Küçük),"22,90 TL"
27228,ankara,çayyolu,pizza today,Egeden Pizza (Küçük),"21,90 TL"
27229,ankara,çayyolu,pizza today,Favori Pizza (Küçük),"21,90 TL"
27230,ankara,çayyolu,pizza today,Italiano Pizza (Küçük),"22,90 TL"
27231,ankara,çayyolu,pizza today,Karışık Pizza (Küçük),"22,90 TL"
27232,ankara,çayyolu,pizza today,Karma Karışık Pizza (Küçük),"23,90 TL"
27233,ankara,çayyolu,pizza today,Kavurmalı Pizza (Küçük),"23,90 TL"
27234,ankara,çayyolu,pizza today,Kumrum Pizza (Küçük),"22,90 TL"
27235,ankara,çayyolu,pizza today,Lor Peynirli Pizza (Küçük),"21,90 TL"
27236,ankara,çayyolu,pizza today,Mangal Ateşi Pizza (Küçük),"23,90 TL"
27237,ankara,çayyolu,pizza today,Mantarlı Pizza (Küçük),"21,90 TL"
27238,ankara,çayyolu,pizza today,Margherita Pizza (Küçük),"21,90 TL"
27239,ankara,çayyolu,pizza today,Mexican Cherry Pizza (Küçük),"23,90 TL"
27240,ankara,çayyolu,pizza today,Mexican Pizza (Küçük),"23,90 TL"
27241,ankara,çayyolu,pizza today,Peynir Sever Pizza (Küçük),"22,90 TL"
27242,ankara,çayyolu,pizza today,Sebzeden Pizza (Küçük),"21,90 TL"
27243,ankara,çayyolu,pizza today,Sosisli Pizza (Küçük),"21,90 TL"
27244,ankara,çayyolu,pizza today,Sucuklu Pizza (Küçük),"21,90 TL"
27245,ankara,çayyolu,pizza today,Ton Balıklı Pizza (Küçük),"22,90 TL"
27246,ankara,çayyolu,pizza today,Turkish Pizza (Küçük),"23,90 TL"
27247,ankara,çayyolu,pizza today,Ton Balıklı Sandviç,"23,90 TL"
27248,ankara,çayyolu,pizza today,Köfteli Sandviç,"23,90 TL"
27249,ankara,çayyolu,pizza today,Çıtır Tavuklu Sandviç,"23,90 TL"
27250,ankara,çayyolu,pizza today,Tavuklu Dürüm,"19,90 TL"
27251,ankara,çayyolu,pizza today,Acılı Tavuk Dürüm,"19,90 TL"
27252,ankara,çayyolu,pizza today,Köfteli Dürüm,"19,90 TL"
27253,ankara,çayyolu,pizza today,Elma Dilim Patates Kızartması,"11,90 TL"
27254,ankara,çayyolu,pizza today,Patates Kızartması,"11,90 TL"
27255,ankara,çayyolu,pizza today,Soğan Halkası (10 Adet),"11,90 TL"
27256,ankara,çayyolu,pizza today,Acılı Kiraz Biber,"3,00 TL"
27257,ankara,çayyolu,pizza today,Sarımsaklı Peynirli Ekmek (3 Adet),"11,90 TL"
27258,ankara,çayyolu,pizza today,Çıtır Tavuklar,"13,90 TL"
27259,ankara,çayyolu,pizza today,Çıtır Tavuklu Salata,"19,90 TL"
27260,ankara,çayyolu,pizza today,Akdeniz Salata,"17,90 TL"
27261,ankara,çayyolu,pizza today,Ton Balıklı Salata,"19,90 TL"
27262,ankara,çayyolu,pizza today,Sufle,"10,90 TL"
27263,ankara,çayyolu,pizza today,Çikolatalı Cheesecake,"12,90 TL"
27264,ankara,çayyolu,pizza today,Frambuazlı Cheesecake,"12,90 TL"
27265,ankara,çayyolu,pizza today,Coca-Cola (33 cl.),"5,90 TL"
27266,ankara,çayyolu,pizza today,Coca-Cola Şekersiz (33 cl.),"5,90 TL"
27267,ankara,çayyolu,pizza today,Fanta (33 cl.),"5,90 TL"
27268,ankara,çayyolu,pizza today,Sprite (33 cl.),"5,90 TL"
27269,ankara,çayyolu,pizza today,Cappy (33 cl.),"5,90 TL"
27270,ankara,çayyolu,pizza today,Fuse Tea (33 cl.),"5,90 TL"
27271,ankara,çayyolu,pizza today,Ayran (30 cl.),"4,50 TL"
27272,ankara,çayyolu,pizza today,Coca-Cola (1 L.),"6,90 TL"
27273,ankara,çayyolu,pizza today,Coca-Cola Şekersiz (1 L.),"6,90 TL"
27274,ankara,çayyolu,pizza today,Fanta (1 L.),"6,90 TL"
27275,ankara,çayyolu,pizza today,Sprite (1 L.),"6,90 TL"
27276,ankara,çayyolu,pizza today,Fuse Tea (1 L.),"6,90 TL"
27277,ankara,çayyolu,pizza today,Soslar,"2,50 TL"
27278,ankara,çayyolu,pizza today,Sarımsak Sos,"2,50 TL"
27279,ankara,çayyolu,pizza today,Ketçap,"1,00 TL"
27280,ankara,çayyolu,pizza today,Acı Sos,"2,50 TL"
27281,ankara,çayyolu,pizza today,Mayonez,"1,00 TL"
27282,ankara,çayyolu,pizza today,Ranch Sos,"3,00 TL"
27283,ankara,çayyolu,pizza today,Poşet,"0,25 TL"
27284,ankara,çayyolu,casa la pizza,Karışık Pizza (Orta) + Kutu İçecek ,"55,90 TL"
27285,ankara,çayyolu,casa la pizza,2'li Büyük Boy Classico Pizza Menü,"94,90 TL"
27286,ankara,çayyolu,casa la pizza,2'li Orta Boy Classico Pizza Menü,"89,90 TL"
27287,ankara,çayyolu,casa la pizza,2'li Küçük Boy Classico Pizza Menü,"74,90 TL"
27288,ankara,çayyolu,casa la pizza,Kardeşler Pizza Menü,"104,90 TL"
27289,ankara,çayyolu,casa la pizza,Abone Pizza Menü,"99,90 TL"
27290,ankara,çayyolu,casa la pizza,Acıktık Pizza Menü,"84,90 TL"
27291,ankara,çayyolu,casa la pizza,Büyük Boy Classico Pizza Menü,"69,90 TL"
27292,ankara,çayyolu,casa la pizza,Orta Boy Classico Pizza Menü,"64,90 TL"
27293,ankara,çayyolu,casa la pizza,Küçük Boy Classico Pizza Menü,"54,90 TL"
27294,ankara,çayyolu,casa la pizza,2'li Büyük Boy Misto Pizza Menü,"99,90 TL"
27295,ankara,çayyolu,casa la pizza,2'li Orta Boy Misto Pizza Menü,"94,90 TL"
27296,ankara,çayyolu,casa la pizza,2'li Küçük Boy Misto Pizza Menü,"89,90 TL"
27297,ankara,çayyolu,casa la pizza,Ortaklar Menü,"109,90 TL"
27298,ankara,çayyolu,casa la pizza,Kanka Pizza Menü,"104,90 TL"
27299,ankara,çayyolu,casa la pizza,Casa La Pizza Menü,"89,90 TL"
27300,ankara,çayyolu,casa la pizza,Büyük Boy Misto Pizza Menü,"74,90 TL"
27301,ankara,çayyolu,casa la pizza,Orta Boy Misto Pizza Menü,"69,90 TL"
27302,ankara,çayyolu,casa la pizza,Küçük Boy Misto Pizza Menü,"62,90 TL"
27303,ankara,çayyolu,casa la pizza,2'li Büyük Boy Turco Pizza Menü,"109,90 TL"
27304,ankara,çayyolu,casa la pizza,2'li Orta Boy Turco Pizza Menü,"104,90 TL"
27305,ankara,çayyolu,casa la pizza,2'li Küçük Boy Turco Pizza Menü,"94,90 TL"
27306,ankara,çayyolu,casa la pizza,Parti Pizza Menü,"114,90 TL"
27307,ankara,çayyolu,casa la pizza,Çılgın Pizza Menü,"114,90 TL"
27308,ankara,çayyolu,casa la pizza,Friends Pizza Menü,"104,90 TL"
27309,ankara,çayyolu,casa la pizza,Büyük Boy Turco Pizza Menü,"84,90 TL"
27310,ankara,çayyolu,casa la pizza,Orta Boy Turco Pizza Menü,"79,90 TL"
27311,ankara,çayyolu,casa la pizza,Küçük Boy Turco Pizza Menü,"69,90 TL"
27312,ankara,çayyolu,casa la pizza,Aile Boyu Pizza Menü,"169,00 TL"
27313,ankara,çayyolu,casa la pizza,Menü 1,"109,90 TL"
27314,ankara,çayyolu,casa la pizza,Menü 2,"104,90 TL"
27315,ankara,çayyolu,casa la pizza,Menü 3,"109,90 TL"
27316,ankara,çayyolu,casa la pizza,Menü 4,"89,90 TL"
27317,ankara,çayyolu,casa la pizza,Beyaz Peynirli Zeytinli Pizza,"29,90 TL"
27318,ankara,çayyolu,casa la pizza,Sucuklu Yumurtalı Pizza,"29,90 TL"
27319,ankara,çayyolu,casa la pizza,Sosisli Mantarlı Pizza,"29,90 TL"
27320,ankara,çayyolu,casa la pizza,Kavurmalı Yumurtalı Pizza,"39,90 TL"
27321,ankara,çayyolu,casa la pizza,Pastırmalı Yumurtalı Pizza,"39,90 TL"
27322,ankara,çayyolu,casa la pizza,3 Mantarlı Pizza (Küçük) (İnce Hamur),"34,90 TL"
27323,ankara,çayyolu,casa la pizza,Patatesli Pizza (Küçük) (İnce Hamur),"31,90 TL"
27324,ankara,çayyolu,casa la pizza,Somonlu Pizza (Küçük),"44,90 TL"
27325,ankara,çayyolu,casa la pizza,Deniz Feneri Pizza (Küçük) (İnce Hamur),"44,90 TL"
27326,ankara,çayyolu,casa la pizza,4 Lezzet Pizza (Küçük) (İnce Hamur),"39,90 TL"
27327,ankara,çayyolu,casa la pizza,Alaturka Pizza (Küçük) (İnce Hamur),"39,90 TL"
27328,ankara,çayyolu,casa la pizza,Anason & Beyaz Peynirli Pizza (Küçük) (İnce Hamur),"34,90 TL"
27329,ankara,çayyolu,casa la pizza,Bbq Tavuklu Pizza (Küçük) (İnce Hamur),"34,90 TL"
27330,ankara,çayyolu,casa la pizza,Bianca Pizza (Küçük) (İnce Hamur),"34,90 TL"
27331,ankara,çayyolu,casa la pizza,Cajun Tavuklu Pizza (Küçük) (İnce Hamur),"34,90 TL"
27332,ankara,çayyolu,casa la pizza,Caprese Pizza (Küçük) (İnce Hamur),"34,90 TL"
27333,ankara,çayyolu,casa la pizza,Casa La Pizza (Küçük) (İnce Hamur),"34,90 TL"
27334,ankara,çayyolu,casa la pizza,Dana Pizza (Küçük) (İnce Hamur),"39,90 TL"
27335,ankara,çayyolu,casa la pizza,Di Mare Pizza (Küçük) (İnce Hamur),"44,90 TL"
27336,ankara,çayyolu,casa la pizza,Elmalı Cevizli Pizza (Küçük) (İnce Hamur),"34,90 TL"
27337,ankara,çayyolu,casa la pizza,Enginarlı Pizza (Küçük) (İnce Hamur),"34,90 TL"
27338,ankara,çayyolu,casa la pizza,Filetto Pizza (Küçük) (İnce Hamur),"39,90 TL"
